source_url,high,medium,low,non_critical,gas
https://code4rena.com/reports/2024-11-ethena-labs,0,12,0,0,0
https://code4rena.com/reports/2024-11-mantra-chain,24,24,0,0,0
https://code4rena.com/reports/2024-11-mantra-dex,72,114,0,0,0
https://code4rena.com/reports/2024-11-nibiru,36,60,0,0,0
https://code4rena.com/reports/2024-12-bakerfi-invitational,42,96,0,0,0
https://code4rena.com/reports/2024-12-benddao-invitational,12,24,0,0,0
https://code4rena.com/reports/2024-12-flex-perpetuals,0,12,0,0,0
https://code4rena.com/reports/2024-12-lambowin,24,60,0,0,0
https://code4rena.com/reports/2024-12-secondswap,18,120,0,0,0
https://code4rena.com/reports/2024-12-unruggable-invitational,0,12,0,0,0
https://code4rena.com/reports/2025-01-initia-move,24,24,0,0,0
https://code4rena.com/reports/2025-01-initia-rollup-modules,18,36,0,0,0
https://code4rena.com/reports/2025-01-iq-ai,6,12,0,0,0
https://code4rena.com/reports/2025-01-liquid-ron,6,12,0,0,0
https://code4rena.com/reports/2025-01-next-generation,6,18,0,0,0
https://code4rena.com/reports/2025-01-pump-science,12,18,0,0,0
https://code4rena.com/reports/2025-02-blend-v2-audit-certora-formal-verification,18,108,0,0,0
https://code4rena.com/reports/2025-02-initia-cosmos,48,48,0,0,0
https://code4rena.com/reports/2025-02-thorwallet,12,6,0,0,0
https://code4rena.com/reports/2025-03-nudgexyz,0,24,0,0,0
https://code4rena.com/reports/2025-03-silo-finance,0,36,0,0,0
https://code4rena.com/reports/2025-03-starknet-perpetual,12,18,0,0,0
https://code4rena.com/reports/2025-04-bitvault,0,12,0,0,0
https://code4rena.com/reports/2025-04-cabal-liquid-staking-token,6,42,0,0,0
https://code4rena.com/reports/2025-04-forte-float128-solidity-library,30,6,0,0,0
https://code4rena.com/reports/2025-04-kinetiq,18,30,0,0,0
https://code4rena.com/reports/2025-04-virtuals-protocol,36,156,0,0,0
https://code4rena.com/reports/2025-05-blackhole,12,132,0,0,0
https://code4rena.com/reports/2025-05-upside,0,0,0,0,0
https://code4rena.com/reports/2025-06-panoptic-hypovault,12,0,0,0,0
https://code4rena.com/reports/2025-07-gte-spot-clob-and-router,18,24,0,0,0
https://code4rena.com/reports/2025-07-lido-finance,0,0,0,0,0
https://code4rena.com/reports/2025-08-flare-fasset,0,24,0,0,0
https://code4rena.com/reports/2025-08-gte-perps-and-launchpad,60,150,0,0,0
https://code4rena.com/reports/2025-08-meteora-dynamic-bonding-curve,0,12,0,0,0
https://code4rena.com/reports/2025-08-morpheus,0,24,0,0,0
https://code4rena.com/reports/2025-08-solana-foundation,0,0,0,0,0
https://code4rena.com/reports/2025-09-layerzero-endpoint-v2-sui,0,0,0,0,0
https://code4rena.com/reports/2025-09-monad,24,42,0,0,0
https://code4rena.com/reports/2025-09-succinct,6,42,0,0,0
https://code4rena.com/reports/2025-10-covenant,0,0,0,0,0
https://code4rena.com/reports/2025-10-hybra-finance,6,54,0,0,0
https://code4rena.com/reports/2025-10-layerzero-starknet-endpoint,0,0,0,0,0
https://code4rena.com/reports/2025-10-reflector-v3,6,30,0,0,0
https://code4rena.com/reports/2025-10-sequence,12,24,0,0,0
https://code4rena.com/reports/2025-11-brix-money,0,18,0,0,0
https://code4rena.com/reports/2025-11-ekubo,0,24,0,0,0
https://code4rena.com/reports/2025-11-garden,0,6,0,0,0
https://code4rena.com/reports/2025-11-megapot,18,48,0,0,0
https://code4rena.com/reports/2025-11-merkl,0,24,0,0,0
https://code4rena.com/reports/2025-11-sequence-transaction-rails,0,0,0,0,0
